Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Test  Loss: 0.7273 | Test  Acc: 0.7701
============ Train epoch 24 ============
 MNIST      | Train Loss: 0.0101 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0590 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0145 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0361 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0376 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1328 | Test  Acc: 0.9609
 SVHN       | Test  Loss: 0.9410 | Test  Acc: 0.6997
 USPS       | Test  Loss: 0.1246 | Test  Acc: 0.9656
 SynthDigits| Test  Loss: 0.5764 | Test  Acc: 0.8190
 MNIST-M    | Test  Loss: 0.6982 | Test  Acc: 0.7765
============ Train epoch 25 ============
 MNIST      | Train Loss: 0.0113 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0640 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0163 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0425 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0436 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1383 | Test  Acc: 0.9604
 SVHN       | Test  Loss: 0.9433 | Test  Acc: 0.7004
 USPS       | Test  Loss: 0.1225 | Test  Acc: 0.9667
 SynthDigits| Test  Loss: 0.5966 | Test  Acc: 0.8118
 MNIST-M    | Test  Loss: 0.6986 | Test  Acc: 0.7782
============ Train epoch 26 ============
 MNIST      | Train Loss: 0.0110 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0515 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0155 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0376 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0415 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1389 | Test  Acc: 0.9594
 SVHN       | Test  Loss: 0.9307 | Test  Acc: 0.7029
 USPS       | Test  Loss: 0.1238 | Test  Acc: 0.9683
 SynthDigits| Test  Loss: 0.5901 | Test  Acc: 0.8141
 MNIST-M    | Test  Loss: 0.6908 | Test  Acc: 0.7797
============ Train epoch 27 ============
 MNIST      | Train Loss: 0.0156 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0585 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0120 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0327 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0399 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1605 | Test  Acc: 0.9519
 SVHN       | Test  Loss: 0.9610 | Test  Acc: 0.6925
 USPS       | Test  Loss: 0.1268 | Test  Acc: 0.9677
 SynthDigits| Test  Loss: 0.5870 | Test  Acc: 0.8150
 MNIST-M    | Test  Loss: 0.7204 | Test  Acc: 0.7699
============ Train epoch 28 ============
 MNIST      | Train Loss: 0.0096 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0616 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0142 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0377 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0326 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1334 | Test  Acc: 0.9621
 SVHN       | Test  Loss: 0.9638 | Test  Acc: 0.6937
 USPS       | Test  Loss: 0.1184 | Test  Acc: 0.9634
 SynthDigits| Test  Loss: 0.6035 | Test  Acc: 0.8096
 MNIST-M    | Test  Loss: 0.7010 | Test  Acc: 0.7724
============ Train epoch 29 ============
 MNIST      | Train Loss: 0.0080 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0543 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0112 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0281 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0274 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1317 | Test  Acc: 0.9594
 SVHN       | Test  Loss: 0.9636 | Test  Acc: 0.6913
 USPS       | Test  Loss: 0.1188 | Test  Acc: 0.9672
 SynthDigits| Test  Loss: 0.5760 | Test  Acc: 0.8177
 MNIST-M    | Test  Loss: 0.6803 | Test  Acc: 0.7804
============ Train epoch 30 ============
 MNIST      | Train Loss: 0.0088 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0485 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0121 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0282 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0267 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1343 | Test  Acc: 0.9614
 SVHN       | Test  Loss: 0.9592 | Test  Acc: 0.6942
 USPS       | Test  Loss: 0.1182 | Test  Acc: 0.9683
 SynthDigits| Test  Loss: 0.5862 | Test  Acc: 0.8144
 MNIST-M    | Test  Loss: 0.6883 | Test  Acc: 0.7799
============ Train epoch 31 ============
 MNIST      | Train Loss: 0.0069 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0430 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0100 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0255 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0269 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1316 | Test  Acc: 0.9598
 SVHN       | Test  Loss: 0.9535 | Test  Acc: 0.6961
 USPS       | Test  Loss: 0.1182 | Test  Acc: 0.9672
 SynthDigits| Test  Loss: 0.5916 | Test  Acc: 0.8128
 MNIST-M    | Test  Loss: 0.6809 | Test  Acc: 0.7839
============ Train epoch 32 ============
 MNIST      | Train Loss: 0.0100 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0553 | Train Acc: 0.9973
 USPS       | Train Loss: 0.0124 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0320 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0426 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1389 | Test  Acc: 0.9581
 SVHN       | Test  Loss: 0.9629 | Test  Acc: 0.6918
 USPS       | Test  Loss: 0.1252 | Test  Acc: 0.9661
 SynthDigits| Test  Loss: 0.5958 | Test  Acc: 0.8120
 MNIST-M    | Test  Loss: 0.7296 | Test  Acc: 0.7657
============ Train epoch 33 ============
 MNIST      | Train Loss: 0.0056 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0402 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0074 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0230 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0237 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1296 | Test  Acc: 0.9600
 SVHN       | Test  Loss: 0.9396 | Test  Acc: 0.7012
 USPS       | Test  Loss: 0.1085 | Test  Acc: 0.9699
 SynthDigits| Test  Loss: 0.5656 | Test  Acc: 0.8206
 MNIST-M    | Test  Loss: 0.6765 | Test  Acc: 0.7829
============ Train epoch 34 ============
 MNIST      | Train Loss: 0.0101 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0488 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0143 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0382 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0284 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1545 | Test  Acc: 0.9523
 SVHN       | Test  Loss: 0.9739 | Test  Acc: 0.6918
 USPS       | Test  Loss: 0.1375 | Test  Acc: 0.9624
 SynthDigits| Test  Loss: 0.6306 | Test  Acc: 0.8004
 MNIST-M    | Test  Loss: 0.7391 | Test  Acc: 0.7608
============ Train epoch 35 ============
 MNIST      | Train Loss: 0.0071 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0723 | Train Acc: 0.9892
 USPS       | Train Loss: 0.0116 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0364 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0278 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1261 | Test  Acc: 0.9639
 SVHN       | Test  Loss: 1.0324 | Test  Acc: 0.6652
 USPS       | Test  Loss: 0.1215 | Test  Acc: 0.9645
 SynthDigits| Test  Loss: 0.6002 | Test  Acc: 0.8077
 MNIST-M    | Test  Loss: 0.7073 | Test  Acc: 0.7761
============ Train epoch 36 ============
 MNIST      | Train Loss: 0.0055 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0491 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0108 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0260 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0285 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1249 | Test  Acc: 0.9626
 SVHN       | Test  Loss: 0.9926 | Test  Acc: 0.6795
 USPS       | Test  Loss: 0.1208 | Test  Acc: 0.9618
 SynthDigits| Test  Loss: 0.5782 | Test  Acc: 0.8161
 MNIST-M    | Test  Loss: 0.7228 | Test  Acc: 0.7679
============ Train epoch 37 ============
 MNIST      | Train Loss: 0.0123 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0701 | Train Acc: 0.9960
 USPS       | Train Loss: 0.0132 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0295 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0402 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1467 | Test  Acc: 0.9555
 SVHN       | Test  Loss: 1.0216 | Test  Acc: 0.6698
 USPS       | Test  Loss: 0.1215 | Test  Acc: 0.9645
 SynthDigits| Test  Loss: 0.5836 | Test  Acc: 0.8145
 MNIST-M    | Test  Loss: 0.7506 | Test  Acc: 0.7580
============ Train epoch 38 ============
 MNIST      | Train Loss: 0.0042 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0263 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0058 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0158 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0194 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1211 | Test  Acc: 0.9632
 SVHN       | Test  Loss: 0.9469 | Test  Acc: 0.6959
 USPS       | Test  Loss: 0.1090 | Test  Acc: 0.9715
 SynthDigits| Test  Loss: 0.5561 | Test  Acc: 0.8233
 MNIST-M    | Test  Loss: 0.6814 | Test  Acc: 0.7821
============ Train epoch 39 ============
 MNIST      | Train Loss: 0.0054 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0868 | Train Acc: 0.9838
 USPS       | Train Loss: 0.0094 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0263 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0196 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1246 | Test  Acc: 0.9631
 SVHN       | Test  Loss: 1.0405 | Test  Acc: 0.6652
 USPS       | Test  Loss: 0.1175 | Test  Acc: 0.9688
 SynthDigits| Test  Loss: 0.5886 | Test  Acc: 0.8144
 MNIST-M    | Test  Loss: 0.6954 | Test  Acc: 0.7745
