Device: cuda
============ Train epoch 0 ============
============ Train epoch 30 ============
 MNIST      | Train Loss: 0.0204 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4493 | Train Acc: 0.8991
 USPS       | Train Loss: 0.0596 | Train Acc: 0.9838
 SynthDigits| Train Loss: 0.0575 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0575 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1497 | Test  Acc: 0.9568
 SVHN       | Test  Loss: 1.1450 | Test  Acc: 0.6227
 USPS       | Test  Loss: 0.1767 | Test  Acc: 0.9468
 SynthDigits| Test  Loss: 0.6224 | Test  Acc: 0.8018
 MNIST-M    | Test  Loss: 0.7388 | Test  Acc: 0.7634
============ Train epoch 31 ============
 MNIST      | Train Loss: 0.0210 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4735 | Train Acc: 0.8937
 USPS       | Train Loss: 0.0398 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0565 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0712 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1479 | Test  Acc: 0.9586
 SVHN       | Test  Loss: 1.1939 | Test  Acc: 0.6008
 USPS       | Test  Loss: 0.1646 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6321 | Test  Acc: 0.7984
 MNIST-M    | Test  Loss: 0.7588 | Test  Acc: 0.7560
============ Train epoch 32 ============
 MNIST      | Train Loss: 0.0304 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4551 | Train Acc: 0.8964
 USPS       | Train Loss: 0.0308 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.0726 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0970 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1710 | Test  Acc: 0.9516
 SVHN       | Test  Loss: 1.1459 | Test  Acc: 0.6227
 USPS       | Test  Loss: 0.1527 | Test  Acc: 0.9543
 SynthDigits| Test  Loss: 0.6460 | Test  Acc: 0.7937
 MNIST-M    | Test  Loss: 0.8015 | Test  Acc: 0.7419
============ Train epoch 33 ============
 MNIST      | Train Loss: 0.0243 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4020 | Train Acc: 0.9260
 USPS       | Train Loss: 0.0261 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0495 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0704 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1670 | Test  Acc: 0.9505
 SVHN       | Test  Loss: 1.0960 | Test  Acc: 0.6428
 USPS       | Test  Loss: 0.1453 | Test  Acc: 0.9570
